Year,Solar,Nuclear,Hydro,Wind,Geothermal,Natural Gas,Coal,Biomass,Petroleum,,Electricity Generation,Residential,Commercial,Industrial,Transportation,,Rejected Energy,Useful Energy,Total
1980,x,2.7,0.94,x,0.02,19.8,18.9,x,20.5,,21.6,16.5,16.5,23.3,18.6,,38.1,35.6,73.7
1981,x,2.9,0.89,x,0.02,19.9,19,x,20.4,,21.6,15.1,15.1,17.6,19.1,,36.9,30.2,67.1
1991,x,6.6,2.9,x,0.2,18.3,21.6,x,18,,29.8,16,16,16,22.1,,44.4,30.3,74.7
1992,x,6.6,2.5,x,0.2,18.3,21.6,x,17.5,,29.2,16.2,16.2,17.2,22.5,,44.4,31.6,76
1993,x,6.5,2.8,x,0.2,18.9,20.4,x,16.9,,30.2,16.8,16.8,17.2,22.8,,46.9,31,77.9
1994,x,6.8,2.5,x,0.2,19.4,22,x,16.4,,30.5,17,17,17.3,23.4,,47.8,31.3,79.1
1995,x,7.2,3.2,x,x,19.1,22,3.4,16.3,,31.3,17.9,17.9,20.2,23.9,,49.5,34.4,83.9
2010,0.13,8.4,2.5,0.92,0.21,25,21,3.5,36,,40,12,8.5,24,27,,60,38,98
2011,158,8.26,3.17,1.17,0.226,24.9,19.7,4.41,35.3,,39.2,11.4,8.59,23.6,27,,55.6,41.7,97.3
2012,0.235,8.05,2.69,1.36,0.227,26,17.4,4.32,34.7,,38.1,10.6,8.29,23.9,26.7,,58.1,37,95.1
2013,0.32,8.27,2.56,1.6,0.201,26.6,18,4.49,35.1,,38.2,11.4,8.59,24.7,27,,59,38.4,97.4
2014,0.427,8.33,2.47,1.73,0.202,27.5,17.9,4.78,34.8,,38.4,11.8,8.93,24.7,27.1,,59.4,38.9,98.3
2015,0.2,8.3,0.85,0.65,0.12,28.2,15.5,5,35.4,,34.8,11.2,9,24,27.2,,63.3,31,94.3
2016,0.25,8.4,0.91,0.77,0.12,28.5,14.2,5.1,35.7,,34.3,10.8,8.9,24,27.7,,63.1,30.8,93.9
2017,0.33,8.4,1,0.87,0.12,28.1,13.8,5,36,,33.5,10.7,8.9,24.4,28,,62.7,31,93.7
2018,0.38,8.4,1,0.93,0.12,31.2,13.2,5.1,26.9,,34.4,11.9,9.4,25.4,28.4,,64.6,32.7,97.3
2019,0.43,8.5,0.98,1,0.12,32.3,11.3,5.1,36.9,,33.2,11.9,9.4,25.5,28.5,,63.7,32.7,96.4
2020,0.51,8.3,0.97,1.2,0.12,31.7,9.2,4.5,32.3,,31.6,11.3,8.7,24.6,24.3,,58.1,30.6,88.7
2021,0.63,8.1,0.86,1.3,0.12,31.8,10.5,4.8,35.3,,32.4,11.4,9.1,25.4,27,,61.4,31.8,93.2
2022,0.76,8,0.87,1.5,0.12,33.4,9.9,4.9,35.3,,32.9,12,9.6,25.1,27.6,,62.2,32.5,94.7
2023,0.89,8.1,0.82,1.5,0.12,33.4,8.17,5,35.4,,32,11.3,9.3,26.1,28,,61.5,32.1,93.6
